11.3,29.1
19.4,30.2
10.7,30.6
19.5,30.1
17.3,29.3
19.8,30.9
25.6,30.0
10.6,30.1
11.0,30.4
21.6,30.2
21.8,30.5
14.0,29.6
19.6,30.2
23.4,30.3
17.0,30.8
27.6,30.9
14.6,29.6
20.1,30.9
16.3,29.2
21.9,29.4
14.8,30.4
13.6,30.6
24.9,30.5
19.0,30.2
14.0,29.9
18.5,29.9
24.2,29.0
14.7,29.4
18.8,30.8
19.7,29.7
25.7,29.2
21.1,29.8
13.6,30.7
19.8,29.4
21.0,30.4
15.8,30.7
10.7,29.7
26.6,30.1
16.5,30.5
14.2,29.0
17.8,29.0
15.6,30.6
20.8,30.3
18.1,29.0
24.1,30.1
17.3,30.6
18.6,30.2
25.6,29.4
25.1,30.4
28.3,30.3
20.3,30.6
21.2,29.2
24.0,29.2
29.9,30.8
15.9,30.2
20.7,29.1
20.7,30.5
17.8,30.2
21.9,30.0
29.0,29.5
28.6,30.7
19.6,30.7
24.8,29.1
10.2,29.6
10.1,29.2
19.6,30.3
25.7,29.9
10.1,29.3
13.6,29.8
28.1,29.3
12.0,29.4
25.2,29.5
17.5,29.3
14.9,30.6
20.8,30.4
28.2,29.5
25.9,30.3
20.2,30.0
14.8,29.7
20.8,30.7
21.7,29.9
13.5,30.5
21.8,29.6
15.4,29.3
11.9,30.3
26.5,30.3
22.2,30.6
13.9,29.6
20.9,29.1
23.6,29.2
11.7,29.6
15.4,30.1
14.7,29.9
16.5,30.2
29.2,29.3
26.2,29.5
19.3,29.6
19.6,29.5
21.7,30.7
24.6,29.8
26.9,30.5
27.7,29.7
12.9,30.2
14.5,30.9
22.2,30.3
26.8,29.3
25.0,30.5
21.9,30.5
13.7,29.8
14.9,30.1
10.9,30.8
21.7,29.7
19.2,30.7
11.9,29.2
18.3,29.2
20.6,30.4
15.8,29.5
24.3,30.0
20.0,30.2
14.8,30.7
18.0,30.0
19.0,30.2
20.5,30.2
21.1,30.0
14.9,30.7
25.5,29.3
28.2,30.4
27.5,29.4
10.5,29.5
27.9,30.6
26.7,30.9
28.8,30.0
23.4,29.6
26.4,29.2
15.6,29.8
27.1,29.0
10.6,29.0
13.1,29.0
13.2,30.4
14.2,29.2
14.7,29.1
16.2,29.6
28.6,29.2
22.8,30.2
14.8,29.1
27.5,29.1
24.9,29.6
18.6,30.4
15.0,29.6
12.8,29.9
12.9,29.4
14.2,30.6
25.7,29.2
20.7,29.5
12.6,30.8
27.1,29.3
25.3,29.7
24.3,30.5
27.6,30.7
14.1,29.1
11.0,30.0
29.6,30.9
14.5,29.4
19.5,30.9
28.1,29.0
20.3,29.3
17.2,30.2
14.4,29.2
29.9,30.7
10.2,29.0
26.1,29.9
18.1,29.7
14.7,30.2
19.4,29.4
22.9,29.1
28.7,29.2
19.9,29.0
15.7,29.1
18.4,29.1
29.7,29.2
10.5,29.3
14.2,30.0
27.8,30.1
19.6,30.9
22.9,29.0
19.7,30.6
24.7,30.4
12.5,29.0
21.9,29.6
21.7,30.3
29.4,29.0
22.4,29.3
28.6,29.2
21.7,30.4
15.3,29.2
22.4,29.7
24.0,29.2
29.7,29.1
13.9,30.4
21.0,29.2
26.9,30.6
13.5,30.0
20.8,29.4
21.4,30.7
21.8,30.8
23.8,29.2
28.0,30.1
23.3,29.1
20.1,29.3
10.0,30.0
17.2,30.2
11.9,30.4
29.2,29.8
18.4,30.5
24.8,30.6
12.2,29.5
18.2,30.2
24.4,30.6
